Value Set Name,Code,CodeSystem
Flu A H subtype,446645007,SCT
Flu A H subtype,446648009,SCT
Flu A H subtype,446649001,SCT
Flu A H subtype,123840003,SCT
Flu A H subtype,125159002,SCT
Flu A H subtype,281273001,SCT
Flu A H subtype,125154007,SCT
Flu A H subtype,373121007,SCT
Respiratory pathogen PCR,2185006,SCT
Respiratory pathogen PCR,417810000,SCT
Respiratory pathogen PCR,417811001,SCT
Respiratory pathogen PCR,448520007,SCT
Respiratory pathogen PCR,704980004,SCT
Respiratory pathogen PCR,2247004,SCT
Respiratory pathogen PCR,68957002,SCT
Respiratory pathogen PCR,46957004,SCT
Respiratory pathogen PCR,66111006,SCT
Respiratory pathogen PCR,417812008,SCT
Respiratory pathogen PCR,417813003,SCT
Respiratory pathogen PCR,417814009,SCT
Respiratory pathogen PCR,417815005,SCT
Respiratory pathogen PCR,417816006,SCT
Respiratory pathogen PCR,725064005,SCT
Respiratory pathogen PCR,446373002,SCT
Respiratory pathogen PCR,84101006,SCT
Respiratory pathogen PCR,407370007,SCT
Respiratory pathogen PCR,697942007,SCT
Respiratory pathogen PCR,417818007,SCT
Respiratory pathogen PCR,407371006,SCT
Respiratory pathogen PCR,57757007,SCT
Respiratory pathogen PCR,53744000,SCT
Respiratory pathogen PCR,72254008,SCT
Respiratory pathogen PCR,38203008,SCT
Respiratory pathogen PCR,52657009,SCT
Respiratory pathogen PCR,2793000,SCT
Respiratory pathogen PCR,7543009,SCT
Respiratory pathogen PCR,24747003,SCT
Respiratory pathogen PCR,72593000,SCT
Respiratory pathogen PCR,42067008,SCT
Respiratory pathogen PCR,58445002,SCT
Respiratory pathogen PCR,30840007,SCT
Respiratory pathogen PCR,38889001,SCT
Respiratory pathogen PCR,23831003,SCT
Respiratory pathogen PCR,36204005,SCT
Flu B lineage,419984006,SCT
Flu B lineage,281267002,SCT
Flu B lineage,427672003,SCT
Flu B lineage,426959005,SCT
Flu B lineage,260415000,SCT
Flu B lineage,123840003,SCT
Flu B lineage,125159002,SCT
Flu B lineage,281273001,SCT
Flu B lineage,125154007,SCT
Flu B lineage,373121007,SCT
Flu B lineage PCR,419984006,SCT
Flu B lineage PCR,281267002,SCT
Flu B lineage PCR,427672003,SCT
Flu B lineage PCR,426959005,SCT
HAI results,125154007,SCT
HAI results,373121007,SCT
Non-respiratory pathogens,419984006,SCT
Non-respiratory pathogens,281267002,SCT
Non-respiratory pathogens,919722731000087109,SCT
Non-respiratory pathogens,347362891000087107,SCT
Non-respiratory pathogens,260415000,SCT
Non-respiratory pathogens,123840003,SCT
Non-respiratory pathogens,125159002,SCT
Non-respiratory pathogens,281273001,SCT
Respiratory pathogen PCR,58657002,SCT
Respiratory pathogen PCR,15652005,SCT
Respiratory pathogen PCR,74305002,SCT
Respiratory pathogen PCR,50346001,SCT
Respiratory pathogen PCR,70855006,SCT
Respiratory pathogen PCR,21813007,SCT
Respiratory pathogen PCR,19319001,SCT
Respiratory pathogen PCR,82519006,SCT
Respiratory pathogen PCR,21206001,SCT
Respiratory pathogen PCR,74533001,SCT
Respiratory pathogen PCR,12842000,SCT
Respiratory pathogen PCR,7746003,SCT
Respiratory pathogen PCR,75565006,SCT
Respiratory pathogen PCR,91072000,SCT
Respiratory pathogen PCR,34632007,SCT
Respiratory pathogen PCR,30154001,SCT
Respiratory pathogen PCR,43794009,SCT
Respiratory pathogen PCR,31183009,SCT
Respiratory pathogen PCR,17833003,SCT
Respiratory pathogen PCR,59056002,SCT
Respiratory pathogen PCR,79968007,SCT
Respiratory pathogen PCR,60066004,SCT
Respiratory pathogen PCR,427004,SCT
Respiratory pathogen PCR,16815003,SCT
Respiratory pathogen PCR,4433000,SCT
Respiratory pathogen PCR,46506009,SCT
Respiratory pathogen PCR,53038008,SCT
Respiratory pathogen PCR,66619009,SCT
Respiratory pathogen PCR,69239002,SCT
Respiratory pathogen PCR,12997006,SCT
Respiratory pathogen PCR,78434004,SCT
Respiratory pathogen PCR,90779008,SCT
Respiratory pathogen PCR,68874003,SCT
Respiratory pathogen PCR,421603003,SCT
Respiratory pathogen PCR,421124007,SCT
Respiratory pathogen PCR,421887001,SCT
Respiratory pathogen PCR,420441008,SCT
Respiratory pathogen PCR,421170000,SCT
Respiratory pathogen PCR,19965007,SCT
Respiratory pathogen PCR,15302007,SCT
Respiratory pathogen PCR,13687007,SCT
Respiratory pathogen PCR,19551004,SCT
Respiratory pathogen PCR,416730002,SCT
Respiratory pathogen PCR,407489008,SCT
Respiratory pathogen PCR,407491000,SCT
Flu B lineage PCR,260415000,SCT
Flu B lineage PCR,123840003,SCT
Flu B lineage PCR,125159002,SCT
Flu B lineage PCR,281273001,SCT
Flu B lineage PCR,125154007,SCT
Flu B lineage PCR,373121007,SCT
Flu viruses,419984006,SCT
Flu viruses,941000124100,SCT
Flu viruses,951000124103,SCT
Flu viruses,281267002,SCT
Flu viruses,407479009,SCT
Flu viruses,446396002,SCT
Flu viruses,221000124104,SCT
Flu viruses,700349009,SCT
Flu viruses,446397006,SCT
Flu viruses,446645007,SCT
Flu viruses,446648009,SCT
Flu viruses,446649001,SCT
Flu viruses,407480007,SCT
Flu viruses,427672003,SCT
Flu viruses,426959005,SCT
Flu viruses,407482004,SCT
Flu viruses,264868006,SCT
Flu viruses,264887000,SCT
Flu viruses,123840003,SCT
Flu viruses,125159002,SCT
Flu viruses,281273001,SCT
Flu viruses,125154007,SCT
Flu viruses,373121007,SCT
Flu viruses HAI,281267002,SCT
Flu viruses HAI,446396002,SCT
Flu viruses HAI,221000124104,SCT
Flu viruses HAI,446645007,SCT
Flu viruses HAI,427672003,SCT
Flu viruses HAI,426959005,SCT
Flu viruses HAI,260385009,SCT
Flu viruses HAI,123840003,SCT
Flu viruses HAI,125159002,SCT
Flu viruses HAI,281273001,SCT
Flu viruses HAI,125154007,SCT
Flu viruses HAI,373121007,SCT
HAI results,260373001,SCT
HAI results,281267002,SCT
HAI results,260415000,SCT
HAI results,123840003,SCT
HAI results,125159002,SCT
HAI results,281273001,SCT
Non-respiratory pathogens,125154007,SCT
Non-respiratory pathogens,373121007,SCT
Pre-screen method,104257009,SCT
Pre-screen method,9718006,SCT
Pre-screen method,12717000,SCT
Pre-screen results,419984006,SCT
Pre-screen results,407479009,SCT
Pre-screen results,446396002,SCT
Pre-screen results,221000124104,SCT
Pre-screen results,446645007,SCT
Pre-screen results,407480007,SCT
Pre-screen results,455371000124106,SCT
Pre-screen results,373121007,SCT
Pre-screen results,260415000,SCT
Pyro results,103709008,SCT
Pyro results,281267002,SCT
Pyro results,82334004,SCT
Pyro results,123840003,SCT
Pyro results,125159002,SCT
Pyro results,281273001,SCT
Pyro results,125154007,SCT
Pyro results,373068000,SCT
Ql culture result,62604006,SCT
Ql culture result,281267002,SCT
Ql culture result,82334004,SCT
Ql culture result,46651001,SCT
Ql culture result,264868006,SCT
Ql culture result,264887000,SCT
Ql culture result,123840003,SCT
Ql culture result,125159002,SCT
Ql culture result,281273001,SCT
Ql culture result,125154007,SCT
Ql culture result,373121007,SCT
Respiratory pathogen PCR,243579005,SCT
Respiratory pathogen PCR,26183002,SCT
Respiratory pathogen PCR,5247005,SCT
Respiratory pathogen PCR,103514009,SCT
Respiratory pathogen PCR,407444007,SCT
Respiratory viruses,29576004,SCT
Respiratory viruses,417802001,SCT
Respiratory viruses,417803006,SCT
Respiratory viruses,417804000,SCT
Respiratory viruses,417805004,SCT
Respiratory viruses,417806003,SCT
Respiratory viruses,417807007,SCT
Respiratory viruses,417808002,SCT
Respiratory viruses,417809005,SCT
Respiratory viruses,2185006,SCT
Respiratory viruses,417810000,SCT
Respiratory viruses,417811001,SCT
Respiratory viruses,448520007,SCT
Respiratory viruses,704980004,SCT
Respiratory viruses,2247004,SCT
Respiratory viruses,68957002,SCT
Respiratory viruses,46957004,SCT
Respiratory viruses,66111006,SCT
Respiratory viruses,417812008,SCT
Respiratory viruses,417813003,SCT
Respiratory viruses,417815005,SCT
Respiratory viruses,417816006,SCT
Respiratory viruses,725064005,SCT
Respiratory viruses,446373002,SCT
Respiratory viruses,84101006,SCT
Respiratory viruses,407370007,SCT
Respiratory viruses,407371006,SCT
Respiratory viruses,57757007,SCT
Respiratory viruses,53744000,SCT
Respiratory viruses,72254008,SCT
Respiratory viruses,38203008,SCT
Respiratory viruses,52657009,SCT
Respiratory viruses,2793000,SCT
Results PLT103,941000124100,SCT
Results PLT103,281267002,SCT
Results PLT103,407479009,SCT
Results PLT103,221000124104,SCT
Results PLT103,260415000,SCT
Results PLT103,123840003,SCT
Results PLT103,125159002,SCT
Results PLT103,281273001,SCT
Results PLT103,125154007,SCT
Results PLT103,373121007,SCT
Results PLT171,260373001,SCT
Respiratory viruses,7543009,SCT
Respiratory viruses,24747003,SCT
Respiratory viruses,72593000,SCT
Respiratory viruses,42067008,SCT
Respiratory viruses,34632007,SCT
Respiratory viruses,30154001,SCT
Respiratory viruses,43794009,SCT
Respiratory viruses,31183009,SCT
Respiratory viruses,17833003,SCT
Respiratory viruses,59056002,SCT
Respiratory viruses,79968007,SCT
Respiratory viruses,60066004,SCT
Respiratory viruses,427004,SCT
Respiratory viruses,16815003,SCT
Respiratory viruses,4433000,SCT
Respiratory viruses,46506009,SCT
Respiratory viruses,53038008,SCT
Respiratory viruses,66619009,SCT
Respiratory viruses,69239002,SCT
Respiratory viruses,12997006,SCT
Respiratory viruses,78434004,SCT
Respiratory viruses,90779008,SCT
Respiratory viruses,68874003,SCT
Respiratory viruses,421603003,SCT
Respiratory viruses,421124007,SCT
Respiratory viruses,421887001,SCT
Respiratory viruses,420441008,SCT
Respiratory viruses,421170000,SCT
Respiratory viruses,19965007,SCT
Respiratory viruses,15302007,SCT
Respiratory viruses,13687007,SCT
Respiratory viruses,19551004,SCT
Respiratory viruses,416730002,SCT
Respiratory viruses,407489008,SCT
Respiratory viruses,407491000,SCT
Respiratory viruses,407493002,SCT
Respiratory viruses,89117003,SCT
Respiratory viruses,128359006,SCT
Respiratory viruses,128360001,SCT
Respiratory viruses,407498006,SCT
Respiratory viruses,450615008,SCT
Respiratory viruses,450616009,SCT
Respiratory viruses,473282007,SCT
Respiratory viruses,473283002,SCT
Respiratory viruses,473284008,SCT
Respiratory viruses,473285009,SCT
Respiratory viruses,473286005,SCT
Respiratory viruses,473287001,SCT
Respiratory viruses,44172002,SCT
Respiratory viruses,22580008,SCT
Respiratory viruses,55174004,SCT
Respiratory viruses,16362001,SCT
Respiratory viruses,6415009,SCT
Respiratory viruses,417770000,SCT
Respiratory viruses,417771001,SCT
Respiratory viruses,38220007,SCT
Respiratory viruses,422298007,SCT
Respiratory viruses,450869008,SCT
Respiratory viruses,450870009,SCT
Respiratory viruses,281267002,SCT
Respiratory viruses,407479009,SCT
Respiratory viruses,221000124104,SCT
Respiratory viruses,446645007,SCT
Respiratory viruses,446648009,SCT
Respiratory viruses,407480007,SCT
Respiratory viruses,427672003,SCT
Respiratory viruses,426959005,SCT
Respiratory viruses,281268007,SCT
Respiratory viruses,46651001,SCT
Respiratory viruses,80897008,SCT
Respiratory viruses,52584002,SCT
Respiratory viruses,50384007,SCT
Respiratory viruses,264868006,SCT
Respiratory viruses,260415000,SCT
Respiratory pathogen PCR,74871001,SCT
Respiratory pathogen PCR,53349007,SCT
Respiratory pathogen PCR,54435006,SCT
Respiratory pathogen PCR,30490000,SCT
Respiratory pathogen PCR,23376009,SCT
Respiratory pathogen PCR,37443004,SCT
Respiratory pathogen PCR,7479004,SCT
Respiratory pathogen PCR,33974008,SCT
Respiratory pathogen PCR,62313001,SCT
Respiratory pathogen PCR,9141005,SCT
Respiratory pathogen PCR,10722007,SCT
Respiratory pathogen PCR,49787000,SCT
Respiratory pathogen PCR,81190003,SCT
Respiratory pathogen PCR,74922007,SCT
Respiratory pathogen PCR,85158000,SCT
Respiratory pathogen PCR,19493000,SCT
Respiratory pathogen PCR,42084002,SCT
Respiratory pathogen PCR,15030000,SCT
Respiratory pathogen PCR,5488007,SCT
Respiratory pathogen PCR,73993004,SCT
Respiratory pathogen PCR,89860009,SCT
Respiratory pathogen PCR,22212008,SCT
Respiratory pathogen PCR,66122005,SCT
Respiratory pathogen PCR,1098002,SCT
Respiratory pathogen PCR,41476007,SCT
Respiratory pathogen PCR,12612001,SCT
Respiratory pathogen PCR,85881001,SCT
Respiratory pathogen PCR,15646009,SCT
Respiratory pathogen PCR,65003007,SCT
Respiratory pathogen PCR,32522009,SCT
Respiratory pathogen PCR,90717001,SCT
Respiratory pathogen PCR,91125002,SCT
Respiratory pathogen PCR,79804005,SCT
Respiratory pathogen PCR,90336009,SCT
Respiratory pathogen PCR,23684001,SCT
Respiratory pathogen PCR,68883008,SCT
Respiratory pathogen PCR,29576004,SCT
Respiratory pathogen PCR,417802001,SCT
Respiratory pathogen PCR,417803006,SCT
Respiratory pathogen PCR,417804000,SCT
Respiratory pathogen PCR,417805004,SCT
Respiratory pathogen PCR,417806003,SCT
Respiratory pathogen PCR,417807007,SCT
Respiratory pathogen PCR,417808002,SCT
Respiratory pathogen PCR,417809005,SCT
Respiratory pathogen PCR,37870004,SCT
Respiratory pathogen PCR,407493002,SCT
Respiratory pathogen PCR,89117003,SCT
Respiratory pathogen PCR,128359006,SCT
Respiratory pathogen PCR,128360001,SCT
Respiratory pathogen PCR,407498006,SCT
Respiratory pathogen PCR,450615008,SCT
Respiratory pathogen PCR,450616009,SCT
Respiratory pathogen PCR,473282007,SCT
Respiratory pathogen PCR,473283002,SCT
Respiratory pathogen PCR,473284008,SCT
Respiratory pathogen PCR,473285009,SCT
Respiratory pathogen PCR,473286005,SCT
Respiratory pathogen PCR,473287001,SCT
Respiratory pathogen PCR,6415009,SCT
Respiratory pathogen PCR,417770000,SCT
Respiratory pathogen PCR,417771001,SCT
Respiratory pathogen PCR,1838001,SCT
Respiratory pathogen PCR,38220007,SCT
Respiratory pathogen PCR,419984006,SCT
Respiratory pathogen PCR,281267002,SCT
Respiratory pathogen PCR,407479009,SCT
Respiratory pathogen PCR,446396002,SCT
Respiratory pathogen PCR,221000124104,SCT
Respiratory pathogen PCR,446645007,SCT
Respiratory pathogen PCR,407480007,SCT
Respiratory pathogen PCR,281268007,SCT
Respiratory pathogen PCR,80897008,SCT
Respiratory pathogen PCR,697932005,SCT
Respiratory pathogen PCR,58720004,SCT
Respiratory pathogen PCR,260415000,SCT
Respiratory pathogen PCR,123840003,SCT
Respiratory pathogen PCR,125159002,SCT
Respiratory pathogen PCR,281273001,SCT
Respiratory pathogen PCR,125154007,SCT
Respiratory pathogen PCR,373121007,SCT
Respiratory viruses,407444007,SCT
Respiratory viruses,112652003,SCT
Country,GR,ISO3166_1
Country,GL,ISO3166_1
Country,GD,ISO3166_1
Country,GP,ISO3166_1
Country,GU,ISO3166_1
Country,GT,ISO3166_1
Country,GG,ISO3166_1
Country,GN,ISO3166_1
Country,GW,ISO3166_1
Country,GY,ISO3166_1
Country,HT,ISO3166_1
Country,HM,ISO3166_1
Country,VA,ISO3166_1
Country,HN,ISO3166_1
Country,HK,ISO3166_1
Country,HU,ISO3166_1
Country,IS,ISO3166_1
Country,IN,ISO3166_1
Country,ID,ISO3166_1
Country,IR,ISO3166_1
Country,IQ,ISO3166_1
Country,IE,ISO3166_1
Country,IM,ISO3166_1
Country,IL,ISO3166_1
Country,IT,ISO3166_1
Country,JM,ISO3166_1
Country,JP,ISO3166_1
Country,JE,ISO3166_1
Country,JO,ISO3166_1
Country,KZ,ISO3166_1
Country,KE,ISO3166_1
Country,KI,ISO3166_1
Country,KP,ISO3166_1
Country,KR,ISO3166_1
Country,KW,ISO3166_1
Country,KG,ISO3166_1
Country,LA,ISO3166_1
Country,LV,ISO3166_1
Country,LB,ISO3166_1
Country,LS,ISO3166_1
Country,LR,ISO3166_1
Country,LY,ISO3166_1
Country,LI,ISO3166_1
Country,LT,ISO3166_1
Country,LU,ISO3166_1
Country,MO,ISO3166_1
Country,MK,ISO3166_1
Country,MG,ISO3166_1
Country,MW,ISO3166_1
Country,MY,ISO3166_1
Country,MV,ISO3166_1
Country,ML,ISO3166_1
Country,MT,ISO3166_1
Country,MH,ISO3166_1
Country,MQ,ISO3166_1
Country,MR,ISO3166_1
Country,MU,ISO3166_1
Country,YT,ISO3166_1
Country,MX,ISO3166_1
Country,FM,ISO3166_1
Country,MD,ISO3166_1
Country,MC,ISO3166_1
Country,MN,ISO3166_1
Respiratory viruses,243633006,SCT
Respiratory viruses,74871001,SCT
Respiratory viruses,53349007,SCT
Respiratory viruses,54435006,SCT
Respiratory viruses,30490000,SCT
Respiratory viruses,23376009,SCT
Respiratory viruses,37443004,SCT
Respiratory viruses,7479004,SCT
Respiratory viruses,33974008,SCT
Respiratory viruses,62313001,SCT
Respiratory viruses,9141005,SCT
Respiratory viruses,10722007,SCT
Respiratory viruses,49787000,SCT
Respiratory viruses,81190003,SCT
Respiratory viruses,74922007,SCT
Respiratory viruses,85158000,SCT
Respiratory viruses,19493000,SCT
Respiratory viruses,42084002,SCT
Respiratory viruses,15030000,SCT
Respiratory viruses,5488007,SCT
Respiratory viruses,73993004,SCT
Respiratory viruses,89860009,SCT
Respiratory viruses,22212008,SCT
Respiratory viruses,66122005,SCT
Respiratory viruses,1098002,SCT
Respiratory viruses,41476007,SCT
Respiratory viruses,12612001,SCT
Respiratory viruses,85881001,SCT
Respiratory viruses,15646009,SCT
Respiratory viruses,65003007,SCT
Respiratory viruses,32522009,SCT
Respiratory viruses,90717001,SCT
Respiratory viruses,91125002,SCT
Respiratory viruses,79804005,SCT
Respiratory viruses,90336009,SCT
Respiratory viruses,23684001,SCT
Respiratory viruses,68883008,SCT
Respiratory viruses,58445002,SCT
Respiratory viruses,30840007,SCT
Respiratory viruses,38889001,SCT
Respiratory viruses,23831003,SCT
Respiratory viruses,6771007,SCT
Respiratory viruses,72597004,SCT
Respiratory viruses,83593001,SCT
Respiratory viruses,72877003,SCT
Respiratory viruses,55982000,SCT
Respiratory viruses,86886003,SCT
Respiratory viruses,38219001,SCT
Respiratory viruses,24071003,SCT
Respiratory viruses,74924008,SCT
Respiratory viruses,1293004,SCT
Respiratory viruses,3096006,SCT
Respiratory viruses,49018005,SCT
Respiratory viruses,82059001,SCT
Respiratory viruses,27555004,SCT
Respiratory viruses,89585007,SCT
Respiratory viruses,41988004,SCT
Respiratory viruses,62408001,SCT
Respiratory viruses,48171002,SCT
Respiratory viruses,243579005,SCT
Respiratory viruses,39164004,SCT
Respiratory viruses,36204005,SCT
Respiratory viruses,37870004,SCT
Respiratory viruses,58657002,SCT
Respiratory viruses,15652005,SCT
Respiratory viruses,74305002,SCT
Respiratory viruses,50346001,SCT
Respiratory viruses,70855006,SCT
Respiratory viruses,21813007,SCT
Respiratory viruses,19319001,SCT
Respiratory viruses,82519006,SCT
Respiratory viruses,21206001,SCT
Respiratory viruses,74533001,SCT
Respiratory viruses,12842000,SCT
Respiratory viruses,7746003,SCT
Respiratory viruses,75565006,SCT
Respiratory viruses,91072000,SCT
Respiratory viruses,264887000,SCT
Respiratory viruses,106551006,SCT
Respiratory viruses,5210005,SCT
Respiratory viruses,123840003,SCT
Respiratory viruses,125159002,SCT
Respiratory viruses,281273001,SCT
Respiratory viruses,125154007,SCT
Respiratory viruses,373121007,SCT
Respiratory viruses,373068000,SCT
Respiratory viruses,417831002,SCT
Respiratory viruses,446613002,SCT
Respiratory viruses,260385009,SCT
Respiratory viruses,10828004,SCT
Results PLT103,42425007,SCT
Results PLT103,419984006,SCT
Results PLT171,419984006,SCT
Results PLT171,941000124100,SCT
Results PLT171,951000124103,SCT
Results PLT171,281267002,SCT
Results PLT171,407479009,SCT
Results PLT171,446396002,SCT
Results PLT171,221000124104,SCT
Results PLT171,446645007,SCT
Results PLT171,446648009,SCT
Results PLT171,407480007,SCT
Results PLT171,427672003,SCT
Results PLT171,426959005,SCT
Results PLT171,260415000,SCT
Results PLT171,123840003,SCT
Results PLT171,125159002,SCT
Results PLT171,281273001,SCT
Results PLT171,125154007,SCT
Results PLT171,373121007,SCT
Results PLT196,419984006,SCT
Results PLT196,941000124100,SCT
Results PLT196,951000124103,SCT
Results PLT196,281267002,SCT
Results PLT196,407479009,SCT
Results PLT196,446396002,SCT
Results PLT196,221000124104,SCT
Results PLT196,446645007,SCT
Results PLT196,446648009,SCT
Results PLT196,260415000,SCT
Results PLT196,123840003,SCT
Results PLT196,125159002,SCT
Results PLT196,281273001,SCT
Results PLT196,125154007,SCT
Results PLT196,373121007,SCT
Sample type tested results,119303007,SCT
Sample type tested results,123038009,SCT
Target PCR result,260373001,SCT
Target PCR result,419984006,SCT
Target PCR result,281267002,SCT
Target PCR result,260415000,SCT
Target PCR result,123840003,SCT
Target PCR result,125159002,SCT
Target PCR result,281273001,SCT
Target PCR result,125154007,SCT
Target PCR result,373121007,SCT
Country,AF,ISO3166_1
Country,AX,ISO3166_1
Country,AL,ISO3166_1
Country,DZ,ISO3166_1
Country,AS,ISO3166_1
Country,AD,ISO3166_1
Country,AO,ISO3166_1
Country,AI,ISO3166_1
Country,AQ,ISO3166_1
Country,AG,ISO3166_1
Country,AR,ISO3166_1
Country,AM,ISO3166_1
Country,AW,ISO3166_1
Country,AU,ISO3166_1
Country,AT,ISO3166_1
Country,AZ,ISO3166_1
Country,BS,ISO3166_1
Country,BH,ISO3166_1
Country,BD,ISO3166_1
Country,BB,ISO3166_1
Country,BY,ISO3166_1
Country,BE,ISO3166_1
Country,BZ,ISO3166_1
Country,BJ,ISO3166_1
Country,BM,ISO3166_1
Country,BT,ISO3166_1
Country,BO,ISO3166_1
Country,BA,ISO3166_1
Country,BW,ISO3166_1
Country,BV,ISO3166_1
Country,BR,ISO3166_1
Country,IO,ISO3166_1
Country,BN,ISO3166_1
Country,BG,ISO3166_1
Country,BF,ISO3166_1
Country,BI,ISO3166_1
Country,KH,ISO3166_1
Country,CM,ISO3166_1
Country,CA,ISO3166_1
Country,CV,ISO3166_1
Country,KY,ISO3166_1
Country,CF,ISO3166_1
Country,TD,ISO3166_1
Country,CL,ISO3166_1
Country,CN,ISO3166_1
Country,CX,ISO3166_1
Country,CC,ISO3166_1
Country,CO,ISO3166_1
Country,KM,ISO3166_1
Country,CG,ISO3166_1
Country,CD,ISO3166_1
Country,CK,ISO3166_1
Country,CR,ISO3166_1
Country,CI,ISO3166_1
Country,HR,ISO3166_1
Country,CU,ISO3166_1
Country,CY,ISO3166_1
Country,CZ,ISO3166_1
Country,DK,ISO3166_1
Country,DJ,ISO3166_1
Country,DM,ISO3166_1
Country,DO,ISO3166_1
Country,EC,ISO3166_1
Country,EG,ISO3166_1
Country,SV,ISO3166_1
Country,GQ,ISO3166_1
Country,ER,ISO3166_1
Country,EE,ISO3166_1
Country,ET,ISO3166_1
Country,FK,ISO3166_1
Country,FO,ISO3166_1
Country,FJ,ISO3166_1
Country,FI,ISO3166_1
Country,FR,ISO3166_1
Country,GF,ISO3166_1
Country,PF,ISO3166_1
Country,TF,ISO3166_1
Country,GA,ISO3166_1
Country,GM,ISO3166_1
Country,GE,ISO3166_1
Country,DE,ISO3166_1
Country,GH,ISO3166_1
Country,GI,ISO3166_1
Country,ME,ISO3166_1
Country,MS,ISO3166_1
Country,MA,ISO3166_1
Country,MZ,ISO3166_1
Country,MM,ISO3166_1
Country,NA,ISO3166_1
Country,NR,ISO3166_1
