Value Set Name,Code,CodeSystem
Conclusion PCR result,260373001,SCT
Conclusion PCR result,42425007,SCT
Conclusion PCR result,419984006,SCT
Conclusion PCR result,281267002,SCT
Conclusion PCR result,260415000,SCT
Conclusion PCR result,123840003,SCT
Conclusion PCR result,125159002,SCT
(Non-coded date),(Date),(none)
(Non-coded date/time),(DateTime),(none)
(Non-coded number),(Numeric),(none)
(Non-coded structured number),(StructNum),(none)
(Non-coded string),(String),(none)
EV culture result,260373001,SCT
EV culture result,281267002,SCT
EV culture result,82334004,SCT
EV culture result,264868006,SCT
EV culture result,260415000,SCT
EV culture result,264887000,SCT
EV culture result,123840003,SCT
EV culture result,125159002,SCT
EV culture result,281273001,SCT
EV culture result,125154007,SCT
EV culture result,373121007,SCT
Flu A B virus screen DFA,419984006,SCT
Flu A B virus screen DFA,281267002,SCT
Flu A B virus screen DFA,407479009,SCT
Flu A B virus screen DFA,407480007,SCT
Flu A B virus screen DFA,260385009,SCT
Flu A B virus screen DFA,123840003,SCT
Flu A B virus screen DFA,125159002,SCT
Flu A B virus screen DFA,281273001,SCT
Flu A B virus screen DFA,125154007,SCT
Flu A B virus screen DFA,373121007,SCT
Race,2131-1,CDCREC
Race,2106-3,CDCREC
Race,UNK,NULLFL
Ethnicity,2135-2,CDCREC
Ethnicity,2186-5,CDCREC
Ethnicity,UNK,NULLFL
Patient location,I,HL70004
Patient location,282E00000X,HCPTNUCC
Patient location,O,HL70004
Pregnancy status,60001007,SCT
Pregnancy status,77386006,SCT
Pregnancy status,UNK,NULLFL
CF IF Neut result,281267002,SCT
CF IF Neut result,260385009,SCT
CF IF Neut result,10828004,SCT
CF IF Neut result,123840003,SCT
CF IF Neut result,125159002,SCT
CF IF Neut result,281273001,SCT
CF IF Neut result,125154007,SCT
CF IF Neut result,373121007,SCT
(Non-coded text),(Text),(none)
(Non-coded ID format),(Identifier),(none)
Age value units,d,UCUM
Age value units,h,UCUM
Age value units,min,UCUM
Age value units,mo,UCUM
Age value units,s,UCUM
Age value units,UNK,NULLFL
Age value units,wk,UCUM
Age value units,a,UCUM
Units of measure,{Ct},UCUM
Units of measure,IU/mL,UCUM
Units of measure,ug/mL,UCUM
Units of measure,mm,UCUM
Units of measure,mg/L,UCUM
Units of measure,d,UCUM
Units of measure,h,UCUM
Units of measure,min,UCUM
Units of measure,mo,UCUM
Units of measure,s,UCUM
Units of measure,wk,UCUM
Units of measure,a,UCUM
Units of measure,%,UCUM
Yes No,N,HL70136
Yes No,Y,HL70136
Yes No Unknown,N,HL70136
Yes No Unknown,UNK,NULLFL
Yes No Unknown,Y,HL70136
Sex,F,HL70001
Sex,M,HL70001
Sex,U,HL70001
Race,1002-5,CDCREC
Race,2028-9,CDCREC
Race,2054-5,CDCREC
Race,2076-8,CDCREC
Conclusion PCR result,281273001,SCT
Conclusion PCR result,125154007,SCT
Conclusion PCR result,373121007,SCT
Drug test result,281267002,SCT
Drug test result,82334004,SCT
Drug test result,30714006,SCT
Drug test result,123840003,SCT
Drug test result,125159002,SCT
Drug test result,281273001,SCT
Drug test result,125154007,SCT
Drug test result,131196009,SCT
Drug test result,373121007,SCT
EIA result,260373001,SCT
EIA result,281267002,SCT
EIA result,82334004,SCT
EIA result,260415000,SCT
EIA result,123840003,SCT
EIA result,125159002,SCT
EIA result,281273001,SCT
EIA result,125154007,SCT
EIA result,373121007,SCT
Respiratory pathogen PCR,6771007,SCT
Respiratory pathogen PCR,72597004,SCT
Respiratory pathogen PCR,83593001,SCT
Respiratory pathogen PCR,72877003,SCT
Respiratory pathogen PCR,55982000,SCT
Respiratory pathogen PCR,86886003,SCT
Respiratory pathogen PCR,38219001,SCT
Respiratory pathogen PCR,24071003,SCT
Respiratory pathogen PCR,74924008,SCT
Respiratory pathogen PCR,1293004,SCT
Respiratory pathogen PCR,3096006,SCT
Respiratory pathogen PCR,49018005,SCT
Respiratory pathogen PCR,82059001,SCT
Respiratory pathogen PCR,27555004,SCT
Respiratory pathogen PCR,89585007,SCT
Respiratory pathogen PCR,41988004,SCT
Respiratory pathogen PCR,62408001,SCT
Respiratory pathogen PCR,48171002,SCT
Respiratory pathogen PCR,39164004,SCT
Flu A H subtype,419984006,SCT
Flu A H subtype,941000124100,SCT
Flu A H subtype,951000124103,SCT
Flu A H subtype,281267002,SCT
Flu A H subtype,446396002,SCT
Flu A H subtype,221000124104,SCT
Flu A H subtype,446397006,SCT
